course_code, subject_name, credits_registered, credits_earned, grade, grade_point, result_id, new_grade
EC462, HARDWARE DESCRPITION LANGUAGE, 3, 3, B, 7.59, 1724, B
CVPE841, DESIGN OF EARTHQUAKE RESISTANT STRUCTURES, 4, 4, C, 7.29, 4309, B
EEL48, ELECTRICAL MACHINES-I LAB., 1, 1, A, 8.18, 2255, A
ME462, MANAGEMENT AND ENTREPRENEURSHIP, 3, 3, A, 9, 1933, S
ME606, MECHATRONICS AND  MICROPROCESSOR, 3, 3, A, 9, 864, S
CSL1562, EMBEDDED SYSTEMS LABORATORY, 1, 1, S, 9.46, 248, S
EE201, BASIC ELECTRICAL ENGINEERING, 4, 4, B, 8.82, 3424, A
EC801, OPTICAL FIBER COMMUNICATION, 3, 3, C, 7.24, 4112, B
IS433, SOFTWARE ENGINEERING, 3, 3, B, 7.72, 1475, B
CHY201, ENGINEERING CHEMISTRY, 4, 4, S, 10, 2611, S+
TC44, SYSTEMS MODELING AND CONTROL, 4, 4, B, 7.65, 2129, B
CV608L, ENVIRONMENTAL ENGINEERING LABORATORY, 2, 2, A, 9.1, 648, S
CV201, BASIC CIVIL ENGINEERING AND MECHANICS, 4, 4, S, 10, 3106, S+
CSL1542, ALGORITHMS LABORATORY, 1, 1, S, 9.21, 1362, S
CS812, PROJECT, 18, 18, S, 10, 3775, S+
EIL48, INDUSTRIAL INSTRUMENTATION-I LAB, 1, 1, A, 9, 2412, S
EC45, SIGNALS AND SYSTEMS, 4, 0, F, 0, 1693, F
MEMAT41, ENGINEERING MATHEMATICS-IV, 4, 4, E, 3.72, 1953, F
MEPE30, OPERATIONS  MANAGEMENT, 3, 0, X, 0, 726, F
HSS201, CONSTITUTION OF INDIA AND ETHICS, 2, 2, B, 8.2, 2627, A
CS1561, COMPLIER DESIGN, 4, 4, B, 8, 167, A
CS1562, EMBEDDED SYSTEMS, 4, 4, B, 7.36, 159, B
IS315, OBJECT ORIENTED PROGRAMMING, 4, 0, F, 0, 8, F
EC603, COMPUTER COMMUNICATION NETWORKS, 3, 3, C, 6.17, 438, C
CV201, BASIC CIVIL ENGINEERING AND MECHANICS, 4, 0, X, 0, 2805, F
CS1544, DATA COMMUNICATION, 4, 4, B, 8, 1425, A
IS62C4, SOFTWARE TESTING, 4, 4, C, 7, 370, B
CV42, HYDRAULICS AND HYDRAULIC MACHINERY, 4, 4, C, 7, 1768, B
CS1563, COMPUTER SECURITY, 4, 4, A, 9, 251, S
CHY201, ENGINEERING CHEMISTRY, 4, 4, C, 6.25, 2697, C
ME605, HYDRAULICS AND PNEUMATICS, 3, 3, C, 7.48, 860, B
AR608, WORKING DRAWING, 1, 1, B, 7.36, 1265, B
MLL47-2, MICROCONTROLLER -MSB430 LAB, 1, 1, A, 9.61, 2358, S
CS813, SEMINAR, 2, 2, S, 9.96, 3787, S
MEL203, WORKSHOP PRACTICE, 2, 2, S, 9.58, 2770, S
CV45, ENVIRONMENTAL ENGINEERING -I, 3, 3, B, 8, 1814, A
CS1544, DATA COMMUNICATION, 4, 4, A, 9, 1407, S
ML804, PROJECT WORK -II, 14, 14, A, 9.39, 4840, S
PHYL201, ENGINEERING PHYSICS LAB, 1, 1, B, 7.12, 2969, B
CHY201, ENGINEERING CHEMISTRY, 4, 4, S, 10, 3650, S+
AR406, BUILDING SERVICES II, 3, 3, A, 9.22, 2469, S
CSL201, FUNDAMENTALS OF COMPUTING LAB, 1, 1, B, 8.84, 2810, A
ME201, ELEMENTS OF MECHANICAL ENGINEERING, 4, 4, B, 8, 2583, A
PHYL201, ENGINEERING PHYSICS LAB, 1, 1, A, 9.57, 3176, S
TCE11, OPERATING SYSTEMS, 4, 4, B, 8.81, 883, A
MLPE24, BIOSENSORS, 3, 3, A, 9.04, 1147, S
MAT201, ENGINEERING MATHEMATICS-II, 4, 4, A, 9.67, 3202, S
HSS204K, KANNADA KALI, 0, 0, Pass, 0, 3649, F
ME603, FINITE ELEMENT ANALYSIS, 4, 4, C, 7.4, 811, B
ISMAT41, ENGINEERING MATHEMATICS-IV, 4, 4, A, 9, 1565, S
PHYL201, ENGINEERING PHYSICS LAB, 1, 1, S, 10, 3319, S+
CV201, BASIC CIVIL ENGINEERING AND MECHANICS, 4, 4, S, 10, 3291, S+
EE44, MICROCONTROLLERS: PROGRAMMING & INTERFACING, 4, 4, A, 9.95, 2257, S
IS62C5, COMPUTER GRAPHICS, 4, 4, A, 9.01, 362, S
HSS202, ENVIRONMENTAL STUDIES, 2, 2, S, 10, 3570, S+
AR405, ARCHITECTURAL STRUCTURES IV, 3, 3, B, 7.49, 2491, B
ME47L, APPLIED THERMODYNAMICS LABORATORY, 1, 1, A, 8.01, 2071, A
ME803, PROJECT WORK, 12, 12, A, 8.89, 4576, A
EEL47, MICROCONTROLLERS: PROGRAMMING & INTERFACING LAB., 1, 1, B, 7.86, 2262, B
MLL610, MINI PROJECT, 4, 4, A, 8.2, 1124, A
HSS204M, KANNADA MANASU, 0, 0, Pass, 0, 2544, F
CHYL201, ENGINEERING CHEMISTRY LAB, 1, 1, S, 10, 3618, S+
